IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
68,"FC063-VD_.6K._",400,50,1,1070,1350,2.2,10163.93,15606.56,10163.93,10688.52,11245.9,11770.49,12295.08,12852.46,13409.83,13967.21,14459.02,15049.18,15606.56,125.38,116.49,106.2,95.91,85.15000000000001,71.58,60.82,45.85,30.88,15.44,0.47,0,0
69,"FC071-AD_.6F._",400,50,0,640,420,1.1,7921.05,12180.92,7921.05,8335.530000000001,8773.030000000001,9164.469999999999,9601.969999999999,10039.47,10453.95,10891.45,11328.95,11743.42,12180.92,53.8,50.41,46.43,42.34,37.54,32.4,26.67,20.82,14.5,8.07,0.12,0,0
70,"FC071-AD_.6F._",400,50,1,480,240,0.48,5986.84,9348.68,5986.84,6332.24,6654.61,6976.97,7322.37,7644.74,7990.13,8312.5,8657.889999999999,9003.290000000001,9348.68,28.77,27.49,25.73,23.51,21.17,18.13,15.44,12.05,7.95,4.09,0.12,0,0
71,"FC071-SD_.6K._",400,50,0,890,910,2,10209.06,16724.74,10209.06,10836.24,11463.41,12125.44,12787.46,13449.48,14111.5,14773.52,15400.7,16027.87,16724.74,94.62,92.55,88.41,82.19,74.33,65.22,54.66,41.61,29.4,15.94,0.62,0,0
72,"FC071-SD_.6K._",400,50,1,710,620,1.1,8954.700000000001,12996.52,8954.700000000001,9372.82,9756.1,10139.37,10557.49,10940.77,11358.89,11777,12160.28,12578.4,12996.52,50.1,47.41,44.72,40.37,36.02,30.64,24.84,19.46,13.04,6.83,0.21,0,0
73,"FC071-VD_.6N._",400,50,0,1300,2800,5.1,14579.9,25008.24,14579.9,15617.79,16606.26,17644.15,18682.04,19769.36,20807.25,21894.56,22883.03,23920.92,25008.24,256.53,245.61,231.97,214.5,192.67,168.11,141.91,111.89,78.05,41.48,1.09,0,0
74,"FC071-VD_.6N._",400,50,1,990,1800,3,10576.61,19818.78,10576.61,11466.23,12405.27,13344.32,14283.36,15222.41,16062.6,17001.65,17940.69,18879.74,19818.78,152.83,145.18,136.45,126.63,112.98,100.43,84.05,66.59,44.76,24.02,1.09,0,0
75,"FC071-VD_.7M._",400,50,0,1320,2600,4.5,13109.95,23539.27,13109.95,14115.18,15204.19,16251.31,17256.54,18303.66,19350.79,20356.02,21445.03,22450.26,23539.27,256.81,246.38,231.88,215.07,193.04,166.96,141.45,108.99,77.09999999999999,40,1.16,0,0
76,"FC071-VD_.7M._",400,50,1,1020,1750,3,10848.17,19937.17,10848.17,11769.63,12607.33,13570.68,14492.15,15371.73,16293.19,17172.77,18094.24,19015.71,19937.17,165.22,155.36,144.35,130.43,115.94,99.13,80,60.29,41.74,21.45,1.16,0,0
77,"FC080-AD_.6K._",400,50,0,680,720,1.8,10230.26,17500,10230.26,10953.95,11677.63,12368.42,13125,13848.68,14572.37,15296.05,16052.63,16743.42,17500,75.48,72.05,67.98999999999999,62.69,56.76,49.12,41.17,32.44,22.61,12.01,0.16,0,0
78,"FC080-AD_.6K._",400,50,1,520,470,0.98,8388.16,14342.11,8388.16,8947.370000000001,9572.370000000001,10131.58,10756.58,11381.58,11973.68,12565.79,13157.9,13717.11,14342.11,42.57,40.08,37.11,33.84,29.79,26.2,21.68,16.84,12.16,6.08,0.31,0,0
79,"FC080-ND_.6K._",400,50,0,430,210,0.65,5399.02,10482.76,5399.02,5911.33,6403.94,6916.26,7428.57,7940.89,8453.200000000001,8965.52,9458.129999999999,9970.440000000001,10482.76,30.1,29.47,28.62,27.37,25.5,23.47,20.51,16.53,12.16,6.39,0.23,0,0
80,"FC080-ND_.6K._",400,50,1,310,110,0.29,4118.23,8197.040000000001,4118.23,4512.32,4926.11,5339.9,5753.69,6147.78,6561.58,6955.67,7369.46,7783.25,8197.040000000001,13.8,13.33,12.55,11.7,10.6,9.279999999999999,7.8,6.24,4.29,2.26,0.08,0,0
