IdFanModel,Model,Voltage,Frequency,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
60,"FB056-6E_.4I._P",105,50,380,145,0.155,1966.56,3453.98,0,0,0,0,0,0,0
61,"FB056-8E_.4F._P",230,50,680,200,0.1,3562.07,5111.75,0,0,0,0,0,0,0
62,"FB056-8E_.4F._P",160,50,510,130,0.9399999999999999,2855.12,4480.15,0,0,0,0,0,0,0
63,"FB056-8E_.4F._P",130,50,410,94,0.83,2176.9,3631.47,0,0,0,0,0,0,0
64,"FB056-8E_.4F._P",105,50,310,62,0.7,1616.29,2694.02,0,0,0,0,0,0,0
65,"FB063-4D_.4M._L",400,50,1300,1100,0.22,7775.78,12541.83,0,0,0,0,0,0,0
66,"FB063-4D_.4M._L",230,50,910,650,0.21,5465.71,10076.21,0,0,0,0,0,0,0
67,"FB063-4D_.4M._L",180,50,730,450,0.19,4550.37,8252.93,0,0,0,0,0,0,0
68,"FB063-4D_.4M._L",140,50,570,280,0.6,3532.71,6533.17,0,0,0,0,0,0,0
69,"FB063-6E_.4I._L",230,50,930,490,0.22,6220.09,8885.219999999999,0,0,0,0,0,0,0
70,"FB063-6E_.4I._L",160,50,800,370,0.24,5288,8327.85,0,0,0,0,0,0,0
71,"FB063-6E_.4I._L",130,50,610,290,0.24,4127.02,7295.06,0,0,0,0,0,0,0
72,"FB063-6E_.4I._L",105,50,450,200,0.21,2932.08,5475.34,0,0,0,0,0,0,0
73,"FB063-6E_.4I._P",230,50,900,590,0.27,7005.82,10084.28,0,0,0,0,0,0,0
74,"FB063-6E_.4I._P",160,50,670,450,0.3,5042.24,8507.709999999999,0,0,0,0,0,0,0
75,"FB063-6E_.4I._P",130,50,490,320,0.27,3749.46,6373.76,0,0,0,0,0,0,0
76,"FB063-6E_.4I._P",105,50,370,210,0.23,2999.32,4574.23,0,0,0,0,0,0,0
77,"FB063-8E_.4F._L",230,50,620,230,0.11,4250,6355.26,0,0,0,0,0,0,0
78,"FB063-8E_.4F._L",160,50,430,130,0.9399999999999999,2986.84,5144.74,0,0,0,0,0,0,0
79,"FB063-8E_.4F._L",130,50,330,90,0.8100000000000001,2263.16,3907.89,0,0,0,0,0,0,0
80,"FB063-8E_.4F._L",105,50,250,60,0.67,1851.26,2901.6,0,0,0,0,0,0,0
81,"FB063-8E_.4I._P",230,50,640,290,0.15,5013.56,7315.26,0,0,0,0,0,0,0
82,"FB063-8E_.4I._P",160,50,450,190,0.14,3563.35,5653.07,0,0,0,0,0,0,0
83,"FB063-8E_.4I._P",130,50,330,135,0.125,2511.97,4144.98,0,0,0,0,0,0,0
84,"FB063-8E_.4I._P",105,50,250,87,0.105,1982.76,3068.29,0,0,0,0,0,0,0
85,"FB063-8E_.4I._S",230,50,620,340,0.16,5518.81,7565.88,0,0,0,0,0,0,0
86,"FB063-8E_.4I._S",160,50,430,210,0.145,3976.86,5678.32,0,0,0,0,0,0,0
87,"FB063-8E_.4I._S",130,50,340,145,0.13,2979.9,4242.71,0,0,0,0,0,0,0
88,"FB063-8E_.4I._S",105,50,250,92,0.105,2368.44,3179.29,0,0,0,0,0,0,0
89,"FC031-2E_.3F._",230,50,2650,470,0.21,2502.1,3802.6,0,0,0,0,0,0,0
90,"FC031-2E_.3F._",160,50,1700,380,0.25,1608.63,2859.49,0,0,0,0,0,0,0
91,"FC031-2E_.3F._",130,50,1150,260,0.22,1112.26,1827.03,0,0,0,0,0,0,0
92,"FC031-2E_.3F._",105,50,880,175,0.185,765.5,1297.33,0,0,0,0,0,0,0
93,"FC035-2D_.6C._",400,50,2700,1050,0.22,3374.36,5083.12,0,0,0,0,0,0,0
94,"FC035-2D_.6C._",230,50,2180,660,0.19,2704.25,4144.97,0,0,0,0,0,0,0
95,"FC035-2D_.6C._",180,50,1830,480,0.18,2260.31,3474.87,0,0,0,0,0,0,0
96,"FC035-2D_.6C._",140,50,1480,330,0.165,1849.87,2779.64,0,0,0,0,0,0,0
97,"FC035-4D_.2C._",400,50,1390,175,0.39,2387.17,3613.21,0,0,0,0,0,0,0
