IdFanModel,Model,AreaBocca,CodVentRif,DG,ICur,Ibin,Density,MinRound,MaxRound,PressMin,PressMax,XCapMin,YCapMin,CapMin,XPressMin,YPressMin,XCapMax,YCapMax,CapMax,XPressMax,YPressMax
67,"AT 12-12",0.116,257,333,2,1,1.2,500,1700,80,2000,2880,1890,1000,2880,1890,8715,1890,18000,2880,12000
68,"AT 15-11",0.128,258,393,2,1,1.2,450,2200,100,4000,2700,1680,2000,2700,1680,7770,1680,30000,2700,11805
69,"AT 15-15",0.161,259,393,2,1,1.2,400,1300,80,1500,3015,2280,1500,3015,2280,8430,2280,20000,3015,12405
70,"AT 18-13",0.178,260,470,2,1,1.2,300,1300,60,2000,2205,2265,2000,2205,2265,7620,2265,30000,2205,12390
71,"AT 18-18",0.231,261,470,2,1,1.2,300,1200,60,2000,2145,1680,2000,2145,1680,7635,1680,40000,2145,11805
72,"AT 20-15",0.261,262,544,2,1,1.2,250,1400,50,3000,2055,1695,2000,2055,1695,7905,1695,50000,2055,11820
73,"AT 20-20",0.328,263,544,2,1,1.2,250,1400,50,2500,1860,1695,2000,1860,1695,7665,1695,50000,1860,11820
74,"AT 22-15",0.295,264,592,2,1,1.2,250,1400,50,3000,2205,1695,2000,2205,1695,7665,1695,50000,2205,11820
75,"AT 22-22",0.397,265,592,2,1,1.2,250,1300,50,2600,2250,1695,3000,2250,1695,7860,1695,70000,2250,11820
76,"AT 25-20",0.433,266,668,2,1,1.2,200,1100,40,2600,1845,1695,2000,1845,1695,7785,1695,80000,1845,11805
77,"AT 25-25",0.518,267,668,2,1,1.2,200,1000,50,2500,2085,1695,3000,2085,1695,7845,1695,90000,2085,11820
78,"AT 28-20",0.485,268,732,2,1,1.2,200,900,60,2500,2055,2280,4000,2055,2280,7845,2280,90000,2055,12390
79,"AT 28-28",0.625,269,732,2,1,1.2,200,900,60,2500,1935,2280,5000,1935,2280,7440,2280,100000,1935,12390
80,"AT 30-20",0.525,270,785,2,1,1.2,150,900,40,2500,1950,1695,3000,1950,1695,7785,1695,100000,1950,11805
81,"AT 30-28",0.675,271,785,2,1,1.2,150,900,40,3000,1725,1695,3000,1725,1695,7320,1695,100000,1725,11805
82,"ADH 400",0.257,129,400,2,1,1.2,400,2000,80,3500,2835,2220,2000,2835,2220,8235,2220,50000,2820,12135
83,"ADH 160",0.042,109,160,2,1,1.2,1200,4600,80,2200,2970,3180,300,2970,3180,8340,3195,5000,2625,12885
84,"ADH 180",0.052,113,180,2,1,1.2,1000,4400,80,2500,2700,3180,300,2700,3180,8400,3180,8000,2715,12870
85,"ADH 200",0.066,118,200,2,1,1.2,800,4200,80,3500,2880,3195,500,2880,3195,8175,3195,10000,2880,12870
86,"ADH 250",0.104,120,250,2,1,1.2,700,3200,100,3500,2295,2220,800,2295,2220,8205,2220,18000,2295,12120
