IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,Coeff1,Coeff2,Coeff3,Coeff4,Coeff5,PotenzaSonora,PressioneSonora
436,"A8D500AJ03 400V 50Hz Hyblade",400,50,0,680,0.15,0.4,2800,4581,259.946,-0.2886502,0.0001454815,-3.219115e-08,2.508641e-12,0,0
437,"A8D500AJ03 480V 60Hz Hyblade",480,60,0,810,0.21,0.41,3400,5433,292.5429,-0.2553264,0.0001072698,-1.991658e-08,1.288751e-12,0,0
438,"A4E500AM03 230V 50Hz Hyblade",230,50,0,1300,0.68,3,5084,8903,146.3331,0.01614819,-7.588527e-07,-6.072224e-10,3.166417e-14,0,0
439,"A6E500AJ03 230V 50Hz Hyblade",230,50,0,915,0.27,1.18,3800,6100,437.1635,-0.3605475,0.0001361425,-2.253609e-08,1.309091e-12,0,0
440,"A6E500AJ03 230V 60Hz Hyblade",230,60,0,1015,0.39,1.72,3950,7087,277.0349,-0.1506518,4.990682e-05,-7.506962e-09,3.792403e-13,0,0
441,"A8E500AJ03 230V 50Hz Hyblade",230,50,0,665,0.13,0.59,2800,4538,239.7615,-0.2685661,0.0001365331,-3.046952e-08,2.39453e-12,0,0
442,"A8E500AJ03 230V 60Hz Hyblade",230,60,0,740,0.17,0.75,3350,5226,32.41282,0.02788267,-1.096852e-05,1.28836e-09,-8.36054e-14,0,0
443,"A4D500AJ03 400V 50Hz Hyblade",400,50,0,1340,0.71,1.4,5900,9030,21.94877,0.09680901,-1.824736e-05,1.039054e-09,-2.60153e-14,0,0
444,"A4D500AM0305 400V 50Hz Hyblade",400,50,0,1350,0.6899999999999999,1.34,5490,9050,403.29,-0.1561179,4.299944e-05,-5.361935e-09,2.181248e-13,0,0
445,"A4D500AM0305 480V 60Hz Hyblade",480,60,0,1590,1.05,1.57,7770,10750,841.1575,-0.3503663,7.835452e-05,-7.816305e-09,2.681966e-13,0,0
446,"A6D500AJ0301 400V 50Hz Hyblade",400,50,0,930,0.27,0.6899999999999999,3680,6185,177.2069,-0.09865883,4.191622e-05,-7.944278999999999e-09,4.847211e-13,0,0
447,"A6D500AJ0301 480V 60Hz Hyblade",480,60,0,1100,0.415,0.78,4500,7320,556.042,-0.364891,0.0001149125,-1.602528e-08,7.817961e-13,0,0
448,"A6D630AM01 400V 50Hz Hyblade",400,50,0,850,0.74,1.38,7800,12560,359.2246,-0.1177404,2.179863e-05,-1.81137e-09,5.107099e-14,0,0
449,"A6D630AN01 400V 50Hz Hyblade",400,50,0,890,0.6,1.2,7050,11270,-18.8112,0.07210582,-1.144823e-05,6.203747e-10,-1.408025e-14,0,0
450,"A6D630AN01 480V 60Hz Hyblade",480,60,0,1070,0.8100000000000001,1.35,11500,13100,77.54183,0.04731903,-6.986444e-06,3.094311e-10,-6.576964e-15,0,0
451,"A8D630AN01 400V 50Hz Hyblade",400,50,0,660,0.33,0.83,5255,8360,158.9247,-0.07148493,2.216978e-05,-3.049905e-09,1.375414e-13,0,0
452,"A8D630AN01 480V 60Hz Hyblade",480,60,0,780,0.49,0.9399999999999999,6170,9830,69.90452999999999,0.008914652,1.028031e-06,-5.209136e-10,2.552056e-14,0,0
453,"A8D630AN07 400V 50Hz Hyblade",400,50,0,450,0.145,0.32,3600,6365,2.636866,0.0285518,-9.122176999999999e-06,9.657266000000001e-10,-3.890064e-14,0,0
454,"A8D630AN07 480V 60Hz Hyblade",480,60,0,470,0.2,0.36,3750,6895,-26.23072,0.05876492,-1.908365e-05,2.402415e-09,-1.146778e-13,0,0
455,"A6E630AN01 230V 50Hz Hyblade",230,50,0,860,0.6,2.62,6725,11020,243.6935,-0.07139843,1.627574e-05,-1.703724e-09,5.749036e-14,0,0
456,"A6E630AO01 230V 50Hz Hyblade",230,50,0,900,0.5,2.2,6200,9440,596.1417,-0.2911522,6.831194e-05,-7.16639e-09,2.637596e-13,0,0
457,"A8E630AN01 230V 50Hz Hyblade",230,50,0,670,0.34,1.72,5275,8450,-205.6554,0.1858749,-4.369463e-05,4.24558e-09,-1.582182e-13,0,0
458,"A8E630AN01 230V 60Hz Hyblade",230,60,0,710,0.46,2.12,5160,9745,6.601664,0.04918962,-1.049427e-05,8.246321e-10,-2.799892e-14,0,0
459,"A6D560AK03 400V 50Hz Hyblade",400,50,0,890,0.38,0.8,5325,8050,675.4127,-0.4412785,0.00012425,-1.530339e-08,6.69064e-13,0,0
460,"A6D560AK03 480V 60Hz Hyblade",480,60,0,1040,0.652,0.97,6085,9445,831.0957,-0.4552067,0.0001094783,-1.153252e-08,4.297531e-13,0,0
461,"A6E560AK01 230V 50Hz Hyblade",230,50,0,895,0.41,1.8,4890,8030,35.33916,0.03380033,-4.052955e-06,-2.897315e-10,2.529412e-14,0,0
462,"A8E560AK01 230V 50Hz Hyblade",230,50,0,670,0.23,1.15,3930,6110,157.3411,-0.1129128,4.706971e-05,-8.567308e-09,5.236856e-13,0,0
463,"A8E560AK01 230V 60Hz Hyblade",230,60,0,750,0.3,1.37,4280,7060,153.5593,-0.08134317000000001,2.941986e-05,-4.748114e-09,2.518108e-13,0,0
476,"FN040-4DK.OF.V7P1",400,50,0,1360,230,0.46,2244,3676,-83.447509765625,0.2994836568832397,-0.0001462456566514447,2.886141281521759e-08,-2.49056504586509e-12,0,0
477,"FN040-4DK.OF.V7P1",0,0,1,0,0,0,0,0,-12.7486515045166,0.213203951716423,-0.000108253669168334,2.17767102128619e-08,-2.02661997426856e-12,0,0
478,"FN040-4DK.0F0.V7P1",380,60,0,1500,350,0.57,2335,4405,390.8920288085938,-0.2649827003479004,0.0001155581630882807,-2.382699548775236e-08,1.515099243981632e-12,0,0
474,"S4D630-AF03-03",380,60,0,1630,2358,4.28,11980,18480,-569.0612182617188,0.2650814056396484,-2.646358007041272e-05,1.063351073860019e-09,-1.71780788920696e-14,72,81
475,"S4D630-AF03-03",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
479,"FN040-4DK.0F0.V7P1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
480,"FN045-4DK.4I.V7P1",380,60,0,1450,750,1.35,3450,7917,2.754332780838013,0.1357041150331497,-3.284580088802613e-05,3.039717366704053e-09,-1.340767774582474e-13,0,0
481,"FN045-4DK.4I.V7P1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
482,"FN045-4DK.4I0.V7P1",400,50,0,1320,520,3167,3167,7028,17.5077133178711,0.101833112537861,-2.41659854509635e-05,1.97008853675129e-09,-9.1482519530648e-14,0,0
483,"FN045-4DK.4I0.V7P1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
484,"FN050-4DK.4I.V7P1",400,50,0,1300,770,1.7,4447,8599,388.0697937011719,-0.1608046740293503,4.499801798374392e-05,-5.571378469682031e-09,2.259432468594905e-13,0,0
485,"FN050-4DK.4I.V7P1",0,0,1,0,0,0,0,0,388.069793701172,-0.16080467402935,4.49980179837439e-05,-5.57137846968203e-09,2.2594324685949e-13,0,0
486,"FN050-4DK.4I0.V7P1",380,60,0,1400,1100,1.9,4406,10203,303.0868225097656,-0.08469005674123764,2.47617790591903e-05,-3.097494927217781e-09,1.175045439638991e-13,0,0
487,"FN050-4DK.4I0.V7P1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488,"FN035-4DK.OF.V7P2",400,50,0,1390,190,0.4,1458,2825,361.042938232422,-0.527572453022003,0.000367268163245171,-1.15467663874824e-07,1.271254369134e-11,0,0
489,"FN035-4DK.OF.V7P2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
490,"FN035-4DK.OF0.V7P2",380,60,0,1560,280,0.48,1900,3475,201.3139038085938,-0.06703968346118927,2.22197068069363e-05,-5.202974051599085e-09,-4.805370036890973e-14,0,0
491,"FN035-4DK.OF0.V7P2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
492,"FN056-4DK.4M.V7P2",400,50,0,1280,1050,2.2,5448,11333,156.6017608642578,0.0402556024491787,-8.730396075407043e-06,6.393637286272735e-10,-2.558664611023061e-14,0,0
493,"FN056-4DK.4M.V7P2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
494,"FN056-4DK.4M0.V7P2",400,60,0,1320,1350,2.6,5403,12356,-36.22129058837891,0.1231846883893013,-2.133569978468586e-05,1.459288578864459e-09,-4.21241681944004e-14,0,0
495,"FN056-4DK.4M0.V7P2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
496,"FN063-4DK.6N.V7P6",400,50,0,1400,1750,3.7,8265,16735,986.1326293945312,-0.2241237014532089,2.569170828792267e-05,-1.313687492121574e-09,2.200979199243336e-14,0,0
497,"FN063-4DK.6N.V7P6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
498,"FN063-4DK.6N0.V7P6",400,60,0,1580,2800,4.8,10248,19422,541.025146484375,-0.03766883537173271,2.541667754485388e-06,-1.047927300490414e-10,0,0,0
499,"FN063-4DK.6N0.V7P6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500,"RT-250",480,60,0,2400,120,0.21,50,1054,98.72539520263672,0.09570357948541641,-0.0007124437834136188,8.632097205918399e-07,-3.397492287504633e-10,61,61
501,"RT-250",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
502,"RT-300",480,60,0,2500,108,0.29,1264,2500,538.61181640625,-0.7129468321800232,0.0004296564438845962,-1.095615047574938e-07,6.909490340989421e-12,63,63
503,"RT-300",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
