IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
22,"FB040-6E_.2C._P",160,50,1565.1,2352.04,810,65,0.42,1565.1,1645.51,1725.91,1799.6,1876.63,1957,2034.02,2114.38,2191.36,2271.7,2352.04,22.27,20.6,18.77,17.02,14.94,12.71,10.48,8.1,5.39,2.68,0,0,0
23,"FB040-6E_.2C._P",130,50,1107.99,1798.43,560,51,0.43,1107.99,1175.03,1245.44,1312.48,1386.22,1453.24,1523.62,1594,1664.38,1728.04,1798.43,10.84,9.960000000000001,9.16,8.210000000000001,7.09,5.97,4.78,3.66,2.39,1.19,0.1,0,0
24,"FB040-6E_.2C._P",105,50,788.23,1216.29,390,35,0.37,788.23,827.15,875.05,916.96,961.86,1006.76,1045.67,1093.56,1132.47,1171.37,1216.29,4.93,4.5,4.15,3.65,3.08,2.65,2.08,1.51,0.9399999999999999,0.37,0.03,0,0
25,"FB040-6E_.2C._S",230,50,1996.75,2725.89,900,110,0.48,1996.75,2071.12,2136.17,2215.15,2289.49,2359.15,2428.8,2507.76,2568.04,2651.61,2725.89,27.14,25.07,22.99,20.41,18,15.35,12.6,9.779999999999999,6.54,3.22,0.11,0,0
26,"FB040-6E_.2C._S",160,50,1492.33,2171.33,690,72,0.48,1492.33,1562.13,1622.59,1692.37,1762.14,1831.91,1897,1971.42,2036.5,2101.59,2171.33,14.87,13.79,12.55,11.22,9.720000000000001,8.31,6.73,5.15,3.4,1.74,0.04,0,0
27,"FB040-6E_.2C._S",130,50,1033.99,1469.52,420,53,0.43,1033.99,1078.68,1119.63,1160.57,1205.26,1249.93,1290.87,1331.8,1380.19,1413.67,1469.52,7.13,6.6,6,5.27,4.74,3.94,3.21,2.41,1.61,0.8100000000000001,0.03,0,0
28,"FB040-6E_.2C._S",105,50,709.3099999999999,992.33,340,33,0.35,709.3099999999999,739.12,765.2,795,817.34,847.13,876.92,906.7,936.49,962.54,992.33,3.49,3.29,3.09,2.82,2.56,2.16,1.76,1.36,0.89,0.43,0.03,0,0
29,"FB050-4E_.4F._L",230,50,4514.38,6611.51,1300,490,0.22,4514.38,4727.7,4931.44,5125.48,5338.98,5562.23,5775.86,5999.24,6183.94,6397.75,6611.51,98.79000000000001,92.8,85.43000000000001,78.29000000000001,69.77,60.1,49.5,37.99,26.01,12.87,0.43,0,0
30,"FB050-4E_.4F._L",160,50,3616.82,5885.67,1060,350,0.23,3616.82,3839.63,4062.48,4295.03,4508.32,4750.67,4964.04,5206.45,5439.28,5652.78,5885.67,63.02,59.8,55.89,51.75,46.23,40.24,33.57,26.66,18.37,9.85,0.64,0,0
31,"FB050-4E_.4F._L",130,50,2834.64,5121.16,810,270,0.22,2834.64,3047.71,3289.82,3522.28,3754.73,3967.86,4210.07,4423.26,4655.87,4898.19,5121.16,38.09,35.8,33.27,30.51,27.76,24.54,20.63,16.49,11.42,5.9,0.38,0,0
