IDCompressor,Description,CMax,CStart,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
2188,"ZR72KCE-TF5",0,0,1.50927975656904,0.0310248395531943,0.0329548589066136,0.000869759123759606,-0.00128154087143973,0.000290368799995139,9.97271999999802e-06,-2.1461759999992e-05,1.4288399999997e-05,5.94864000003521e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2189,"ZR81KCE-TF5",0,0,1.39845442648299,-0.00950264053931287,0.0618768992199939,0.000220231395717602,0.001120789068486,-0.000438991611129751,1.36468799999872e-05,3.72664800006406e-06,-1.76709600000745e-05,1.48716000000762e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2190,"ZR250KCE-TWC",0,0,2.79987011700813,-0.207610992399965,0.327300994899391,-0.00622768020599908,0.0101861000099981,-0.00455445003498575,-5.89868019999956e-05,0.000141427993999983,-0.000107601001999977,6.63741009998947e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2191,"ZR310KCE-TWC",0,0,8.394089843923689,0.0609001007083707,0.129723007205748,0.000168650999970498,0.00129656994308355,-0.000553107023135993,1.91263999822186e-07,2.32952000007227e-05,-4.19099000010085e-05,5.21813000010197e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2192,"ZR61KCE-PFZ",0,0,-0.67322,-0.019332,0.16084,0.00056102,0.0016602,-0.0027453,2.7759e-05,1.0785e-06,-2.1631e-05,2.8127e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2193,"ZR108KCE-TFD",0,0,3.3541,0.099678,-0.011703,0.0023983,-0.0039259,0.0015743,2.3195e-05,-5.1353e-05,3.9501e-05,1.1884e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2194,"ZR125KCE-TFD",0,0,3.2882,0.08022799999999999,0.034252,0.0019224,-0.0030791,0.00053837,1.9247e-05,-4.0878e-05,3.1251e-05,1.3485e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2195,"ZR144KCE-TFD",0,0,3.2535,0.058005,0.070176,0.0013835,-0.0019808,-0.00011476,1.5398e-05,-3.3319e-05,1.8475e-05,2.0983e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2196,"ZR160KCE-TFD",0,0,2.7733,0.027618,0.14454,0.0010243,7.1115e-05,-0.0015481,9.613099999999999e-06,-2.0496e-05,-1.0695e-05,3.3365e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2197,"ZR190KCE-TFD",0,0,6.2215,0.17657,-0.021198,0.0041193,-0.0065801,0.0025159,3.9223e-05,-8.113700000000001e-05,6.3149e-05,6.6579e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2198,"ZR620KCE-FWM",0,0,15.982,0.22876,0.27627,0.0035811,-0.0025223,-0.00064699,2.8971e-05,-2.0811e-06,-2.8103e-05,9.3435e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
