IdCompressor,Description,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
1053,"SM185-7",11.43380644,0.004773329,0.061102413,-0.000421799,-3.96522e-05,0.000605961,-2.76007e-06,4.05852e-06,4.32247e-06,1.57826e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1054,"SM170-7",11.34243903,0.00606212,0.023749182,-0.000214756,-0.00016858,0.000452501,-4.90726e-06,-6.83606e-06,-4.64793e-06,2.35156e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1055,"SM180-7",12.2617888,0.011941775,0.036727711,-0.000325794,-0.000168841,0.000684035,-6.53517e-06,-6.57083e-06,-4.37172e-06,1.75384e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1056,"SM200-7",12.78656458,0.027551454,0.037747511,6.14732e-05,-0.000353163,0.00041757,-5.62637e-06,-1.31052e-05,-8.64464e-06,2.40574e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1057,"SM220-7",14.66067591,0.01625621,0.045318903,2.25617e-05,-0.000279536,0.00042942,-4.00195e-06,-9.75794e-06,-6.27866e-06,2.82763e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1058,"SM230-7",15.59185939,0.002094152,0.072705512,0.000279443,0.000397117,-0.000529354,-1.41407e-06,-1.47613e-05,-1.65493e-05,4.47638e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1059,"SM242-7",16.32050102,-0.000556327,0.046543821,-3.38002e-05,-0.000127297,0.000552288,-1.88395e-06,-4.86073e-06,-3.16112e-06,3.11721e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1060,"SM250-7",17.36691204,0.023891649,-0.003791466,0.000166512,-0.000433363,0.001013734,-1.93503e-06,-1.2838e-05,-8.94757e-06,3.61605e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1061,"SM268-7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1062,"SM271-7",16.68302841,0.011684837,0.117519643,0.000576499,-0.000385522,-0.000454051,2.04048e-05,-1.77523e-05,7.25565e-07,4.15488e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1063,"SM281-7",17.51343921,0.003273522,0.118132469,0.000548301,-0.000309357,-0.000392581,2.14645e-05,-1.53022e-05,2.28527e-06,4.29975e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1064,"SM285-7",18.07822682,0.02722796,0.044489148,2.19675e-05,-0.000227202,0.00107129,-3.15407e-06,-6.95714e-06,-4.79253e-06,3.52016e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1065,"SM290-7",18.82786934,0.000871348,0.099100095,-0.000352898,0.000378317,0.000258028,-5.86587e-06,-2.79126e-06,-6.27786e-06,3.80479e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1066,"SM296-7",17.47047297,0.005973045,0.173287941,0.0009765959999999999,-0.000412719,-0.001180992,4.13187e-05,-2.21203e-05,6.52437e-06,5.06549e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1067,"SM310-7",20.12247566,0.016726325,0.059205542,-0.000338493,-0.000256464,0.001113132,-3.72816e-06,-2.36434e-06,-1.54003e-07,3.38737e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1068,"SM320-7",18.76784773,0.030531596,0.092716375,-0.000122604,-2.07688e-05,0.001127561,-4.36933e-06,-1.06792e-06,-6.31736e-07,3.42006e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1069,"SM322-7",18.68536128,0.007099442,0.189579359,0.001129745,-0.000491045,-0.001336978,4.47871e-05,-2.57253e-05,7.72892e-06,5.47714e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1070,"SM350-7",22.04128585,-0.000352502,0.125375757,-0.000984815,0.000359064,0.001045101,-1.03106e-05,9.18211e-06,4.00114e-06,3.12863e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1071,"SM370-7",22.85389231,0.009540929,0.122131503,-0.000843092,-7.92568e-05,0.001211195,-5.51683e-06,8.11217e-06,8.63975e-06,3.15463e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1072,"SM480-7",28.1686728,0.045824889,0.139158057,-0.000184016,-3.11719e-05,0.001692358,-6.55793e-06,-1.60284e-06,-9.48173e-07,5.13316e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1073,"SM550-7",34.30141932,0.014319986,0.183307239,-0.001265398,-0.000118957,0.001817883,-8.28021e-06,1.21756e-05,1.29674e-05,4.73478e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1074,"SM640-7",37.5582304,0.061099852,0.185544076,-0.000245354,-4.15625e-05,0.002256477,-8.74391e-06,-2.13713e-06,-1.26423e-06,6.844219999999999e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1075,"SM740-7",45.73522576,0.019093315,0.244409652,-0.001687197,-0.000158609,0.002423843,-1.10403e-05,1.62341e-05,1.72899e-05,6.31304e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1076,"SM084-3",12.91669133,0.027852251,0.054023667,0.000295795,-0.000282495,0.000992576,-2.30753e-06,-1.07822e-05,-7.21919e-06,2.4835e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1077,"SM090-3",14.72711686,0.024537399,0.064048016,-0.000670534,-0.000117997,0.000187434,-1.1272e-05,-5.67079e-06,-4.16977e-06,3.14103e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1078,"SM100-3",14.36113,0.03148239,0.07966188,-0.000568164,-8.37193e-05,0.0006220140000000001,-9.844919999999999e-06,-3.26996e-06,-2.19019e-06,2.76984e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1079,"SM110-3",17.31856052,0.041469792,0.061493927,7.252839999999999e-05,-0.000297649,0.001242422,-5.77797e-06,-1.02764e-05,-6.6434e-06,3.19146e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1080,"SM115-3",18.71692308,0.07567894,0.090414305,0.001408344,-0.000522757,9.24696e-05,1.95477e-06,-2.30657e-05,-1.55497e-05,5.44945e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1081,"SM120-3",18.31999112,0.044380138,0.110042481,0.000332604,-0.000269882,0.00081937,-3.25485e-06,-1.07601e-05,-7.22601e-06,3.87297e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1082,"SM125-3",20.4493305,0.08015552200000001,0.042476198,0.00148482,-0.000581066,0.001176064,2.07725e-06,-2.4373e-05,-1.59752e-05,5.00132e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1083,"SM148-3",22.85647714,0.115319461,-0.068276341,0.003671308,-0.004232958,0.005698981,5.16698e-05,-8.19909e-05,5.53873e-05,8.59818e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1084,"SM160-3",22.62557384,0.052212279,0.111926352,-0.001299661,0.000145345,0.00129036,-1.62205e-05,8.87082e-06,6.71568e-06,4.81593e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1085,"SM161-3",24.15187964,0.128069867,-0.03218539,0.00387021,-0.004650789,0.005156804,5.37289e-05,-8.375239999999999e-05,5.98283e-05,1.70482e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1086,"SM175-3",26.22937308,0.035016023,0.160966838,-0.001612795,0.00036151,0.001107908,-1.57431e-05,1.65379e-05,1.12065e-05,5.06464e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1087,"SM185-3",27.40892819,0.034244891,0.150984939,-0.001686051,0.00045541,0.001477687,-1.65275e-05,1.74344e-05,1.0844e-05,5.02182e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1088,"SM170-3",25.81788263,0.05567108,0.107982506,0.000591235,-0.000564651,0.001983962,-4.6123e-06,-2.15514e-05,-1.44297e-05,4.96403e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1089,"SM180-3",29.43656119,0.049045353,0.128019175,-0.001340263,-0.000235852,0.000374644,-2.25304e-05,-1.13348e-05,-8.33453e-06,6.27828e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1090,"SM200-3",28.70502664,0.062927001,0.159228166,-0.001135645,-0.000167338,0.001243282,-1.9678e-05,-6.53599e-06,-4.37774e-06,5.53636e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1091,"SM220-3",34.61633877,0.08288982,0.122914062,0.00014497,-0.000594941,0.002483352,-1.1549e-05,-2.05404e-05,-1.32788e-05,6.3791e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1092,"SM230-3",37.41138584,0.151267066,0.180720114,0.002814998,-0.001044887,0.000184828,3.9072e-06,-4.61037e-05,-3.10808e-05,0.000108924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1093,"SM242-3",36.61799824,0.088707019,0.219952912,0.000664808,-0.000539441,0.001637757,-6.50578e-06,-2.15072e-05,-1.44433e-05,7.741290000000001e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
