IDCompressor,Description,Tcmax,Tcmin,Temax,Temin,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,FattMolt,RPSmin,RPSmax,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24
9769,"HSK7451-70",55,10,7.5,-20,236964.66210974,8970.162258217961,-688.351484463118,134.64171934082,-36.4787404562693,-20.8917134396876,0.763622848646434,-0.91866424608079,-0.5580510215316969,-0.0201784428403614,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9770,"HSK7461-80",55,10,7.5,-20,276862.72589202,10369.4775498264,-1248.99220788759,151.383933813755,-52.4030240873736,-15.6583073325456,0.8610961249915779,-1.02129211953271,-0.49921579448033,-0.0479847103759611,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9771,"HSK7471-90",55,10,7.5,-20,282254.278044913,10627.689769833,-360.491321963422,161.778407071835,-32.5582826306354,-32.2333418448632,0.950929997859836,-1.07699896584203,-0.751257540262365,0.0148550552739318,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9772,"HSK8551-110",55,10,7.5,-20,365140.839899052,13631.8194364435,-1160.93960337798,200.339715399027,-55.9875805787354,-28.7369548165451,1.15606883930278,-1.18445236176471,-0.655548406196837,-0.021569994495535,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9773,"HSK8561-125",55,10,7.5,-20,386851.26136045,14702.8934192012,558.992227605092,223.520669024557,-28.3771851836921,-73.05091737069129,1.34094512840998,-1.24616163983025,-1.18169840466784,0.257221544687272,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9774,"HSK8571-140",55,10,7.5,-20,457941.988122235,17285.8371781236,-602.71372348016,266.369344205873,-64.1877015043187,-56.9205997435973,1.50295397449433,-1.84414582873689,-1.03191822219929,0.137509166902103,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9775,"HSK8581-160",55,10,7.5,-20,532038.286030082,19934.1623107352,-760.099449509052,306.296839540956,-81.47308316196511,-70.8298020111914,1.84761424313926,-2.25852547101373,-1.22503610383254,0.217179105993175,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9776,"HSK8591-180",55,10,7.5,-20,622886.876438369,23389.6984622526,-1594.31090144762,354.168979519245,-110.929422291928,-72.32389653316289,1.96113546170638,-2.60220494476294,-1.22217456711491,0.236400752210154,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9777,"HSN5343-20",55,10,-15,-45,87542.4238451214,3041.48330637378,-337.288676538331,37.5414117374687,-12.5480599713381,-3.26109311756712,0.168273740741061,-0.111115274671,-0.0416646477012108,-0.0211211744157934,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9778,"HSN5353-25",55,10,-15,-45,104368.790378615,3630.6047958067,-402.980729713441,45.0010742535038,-14.7175440903651,-3.60033120064847,0.201694945635194,-0.136211154920772,-0.0571991618276669,-0.0291431538646782,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9779,"HSN5363-30",55,10,-15,-45,272280.965654174,9507.82851901574,-1222.75319134567,119.034185939308,-38.3708199154851,-2.70858852845051,0.5278953423207901,-0.402397288853892,-0.214638401897508,-0.156421892950879,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9780,"HSN6451-40",55,10,-15,-45,154671.188766351,5426.71021039392,-701.90294678164,68.5838965009128,-21.1579463388019,-1.18946630130782,0.307941685890882,-0.224675844904711,-0.118394378139883,-0.08649354728272241,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9781,"HSN6461-50",55,10,-15,-45,179867.834545106,6286.03183196891,-816.0537859042,78.72908301077049,-25.4650907849747,-1.64310259679509,0.348845719439819,-0.268117596943018,-0.143591841989068,-0.105532877741147,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9782,"HSN7451-60",55,10,-15,-45,225413.008883488,8032.53293058304,-752.209240610913,102.588082893819,-29.4969960677313,-11.0810661524838,0.453898592244955,-0.387283170278464,-0.286799729258204,-0.0750358724529173,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9783,"HSN7461-70",55,10,-15,-45,256802.934651651,9001.015461129829,-1151.90529906715,113.686482167663,-34.9115023852197,-2.20803202966509,0.510828215930335,-0.369098677954099,-0.19475085468245,-0.140722154103782,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9784,"HSN7471-75",55,10,-15,-45,272280.9657,9507.828519000001,-1222.753191,119.0341859,-38.37081992,-2.708588528,0.527895342,-0.402397289,-0.214638402,-0.156421893,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9785,"HSN8571-125",55,10,-15,-45,458531.308726656,16139.1452590793,-1680.41920195319,205.854700913177,-67.5555447238627,-20.6843594539526,0.947300641042513,-0.664782973873719,-0.256923673690055,-0.0767188015455104,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9786,"HSN8591-160",55,10,-15,-45,576964.294536109,20076.4434705694,-2182.14845828802,250.076825876352,-88.55917236081849,-26.7612013980857,1.11205757902444,-0.902699347726988,-0.37279408097378,-0.102999219446402,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9787,"2CES-3Y",60,10,0,-40,21127.1365093068,776.31527872245,-178.688161925345,10.2219158680321,-5.35383760743387,-0.393140350177058,0.0519949392989885,-0.0428484726164815,-0.00183401705004159,0.00275006275614209,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9788,"2CES-4Y",60,10,12.5,-40,21173.5648442228,788.322482467195,-179.53636097274,10.8214598860831,-5.40061435917945,-0.337632550139078,0.0588056614794443,-0.0484439453254497,-0.00503230168372185,0.00138473631900025,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9789,"2DES-2Y",60,10,0,-40,17436.3383040096,642.163453126186,-154.113883776978,8.44056748101999,-4.5214184372074,-0.221750646212266,0.0427094447624525,-0.0360648025934251,-0.000772953278893878,0.00156997906720902,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9790,"2DES-3Y",60,10,12.5,-40,17473.4584149376,651.724045020583,-154.784379402471,8.91792309609513,-4.5604262546214,-0.179451337239983,0.048168924614844,-0.0404470904186998,-0.00324314834501728,0.000523009823599786,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9791,"2EES-2Y",60,10,0,-40,14756.9657640259,544.554660013737,-134.467208002273,7.15211344175549,-3.90047631090996,-0.122411570223933,0.0360083275624906,-0.0312245813329557,-0.000188273289450711,0.000874938523210014,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9792,"2EES-3Y",60,10,12.5,-40,14788.3857114708,552.520524512091,-135.027532178356,7.54647201806272,-3.93700423442911,-0.0892885035330588,0.0405111111135016,-0.0348530168825176,-0.00216915937453731,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9793,"2FES-2Y",60,10,0,-40,11731.5262866937,467.434948670854,-83.7316237496352,6.21655600895866,-3.77676456036873,-0.757974349486246,0.029683739207413,-0.034343557316583,0.0005019468651198421,0.00447503521480634,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9794,"2FES-3Y",60,10,12.5,-40,11770.8599396251,481.792771792488,-80.53211667487641,6.75112999976688,-3.97658802701161,-0.8876680488827769,0.0339181158587335,-0.0422595619113647,-0.00180858223496715,0.00519594145927843,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9795,"2GES-2Y",60,10,12.5,-40,9347.604716431581,383.262815452886,-64.1822897529342,5.37700807768086,-3.16763171600373,-0.713167814219099,0.0269959693236296,-0.0337595210012897,-0.00155450917881641,0.00422069341917793,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9796,"2HES-1Y",60,10,0,-40,7989.82150123561,320.144992462641,-57.7022601481541,4.27759790453309,-2.59460379491884,-0.538224891916692,0.0203977790507003,-0.023900783976229,0,0.00329214360638478,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9797,"2HES-2Y",60,10,12.5,-40,8017.61425168814,330.084316890989,-55.5083942995608,4.64466115547983,-2.73634311326373,-0.628978756171606,0.0232846295295248,-0.0293662326849252,-0.0015841652003247,0.00381616588403298,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9798,"2JES-07Y",60,10,12.5,-40,6399.15460606079,265.571405300029,-44.9785072811939,3.75914479466723,-2.21259916335528,-0.529955309880652,0.0188020622281487,-0.0240744529539269,-0.0016790055417523,0.003356923829626,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,"2KES-05Y",60,10,12.5,-40,4945.83049956536,207.39699718229,-35.6426546017983,2.9454305858009,-1.75202491128219,-0.44673155822941,0.0146572102339319,-0.0191647138211712,-0.00147090526738604,0.00302679260110378,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9800,"4CES-6Y",60,10,0,-40,42125.6628890081,1554.75824570406,-339.540388774026,20.6205252059796,-10.4359193454539,-1.30358263577725,0.105700432702293,-0.0843692544215785,-0.00787162332418343,0.00979997525346187,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9801,"4CES-9Y",60,10,12.5,-40,42221.4181160226,1579.97096998678,-341.308947868983,21.8922414422255,-10.5211341296112,-1.18130156287219,0.120228521074536,-0.0960832946738597,-0.0147515614889276,0.00683392017877118,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
