CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,MetodoDiCalcolo,MetodoDiCalcoloPdC,PoliPdC_K0,PoliPdC_K1,ScriptPdCLungAdd,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
142,1,1,"S","102522_P_S",21.65,25,9.539999999999999,0.35,0.1,0,0.95,1,1,1,1,"102522_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
143,1,1,"Q","102525_C_D",25,25,9.539999999999999,0.35,0.1,0,1.15,1,1.45,1.55,1,"102525_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
145,1,1,"Q","102525_C_S",25,25,9.539999999999999,0.35,0.1,0,1.15,1,1,1,1,"102525_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
147,1,1,"Q","103535_S_G",35,35,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"103535_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
148,1,1,"Q","103535_S_S",35,35,9.539999999999999,0.35,0.1,0,1,1,1,1,1,"103535_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
150,1,1,"S","133832_C_G",32.48,37.5,12.7,0.35,0.1,0,1.15,1,1.25,1.35,1,"133832_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
151,1,1,"S","072512_S_D",12.5,25,7.2,0.35,0.1,0,1,1,1.45,1.55,1,"072512_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
153,1,1,"S","072512_S_S",12.5,25,7.2,0.35,0.1,0,1,1,1,1,1,"072512_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
154,1,1,"S","072512_L_D",12.5,25,7.2,0.35,0.1,0,1.45,1,1.45,1.55,1,"072512_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
156,1,1,"S","072512_L_S",12.5,25,7.2,0.35,0.1,0,1.45,1,1,1,1,"072512_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
158,1,1,"S","102512_S_G",12.5,25,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"102512_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
159,1,1,"S","102512_S_S",12.5,25,9.539999999999999,0.35,0.1,0,1,1,1,1,1,"102512_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
161,1,1,"S","102512_P_G",12.5,25,9.539999999999999,0.35,0.1,0,0.95,1,1.25,1.35,1,"102512_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
162,1,1,"S","102512_P_S",12.5,25,9.539999999999999,0.35,0.1,0,0.95,1,1,1,1,"102512_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
164,1,1,"S","102512_L_G",12.5,25,9.539999999999999,0.35,0.1,0,1.45,1,1.25,1.35,1,"102512_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
165,1,1,"S","102512_L_S",12.5,25,9.539999999999999,0.35,0.1,0,1.45,1,1,1,1,"102512_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
167,1,1,"S","102522_L_G",21.65,25,9.539999999999999,0.35,0.1,0,1.45,1,1.25,1.35,1,"102522_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,1,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
169,1,1,"Q","102525_S_D",25,25,9.539999999999999,0.35,0.1,0,1,1,1.45,1.55,1,"102525_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
170,1,1,"Q","102525_S_G",25,25,9.539999999999999,0.35,0.1,0,1,1,1.25,1.35,1,"102525_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
173,1,1,"Q","102525_P_G",25,25,9.539999999999999,0.35,0.1,0,0.95,1,1.25,1.35,1,"102525_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
175,1,1,"Q","102525_L_D",25,25,9.539999999999999,0.35,0.1,0,1.45,1,1.45,1.55,1,"102525_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
176,1,1,"Q","102525_L_G",25,25,9.539999999999999,0.35,0.1,0,1.45,1,1.25,1.35,1,"102525_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
178,1,1,"S","133832_C_S",32.48,37.5,12.7,0.35,0.1,0,1.15,1,1,1,1,"133832_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
180,1,1,"S","133832_S_G",32.48,37.5,12.7,0.35,0.1,0,1,1,1.25,1.35,1,"133832_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
181,1,1,"S","133832_S_S",32.48,37.5,12.7,0.35,0.1,0,1,1,1,1,1,"133832_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
183,1,1,"S","133832_P_G",32.48,37.5,12.7,0.35,0.1,0,0.95,1,1.25,1.35,1,"133832_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
184,1,1,"S","133832_P_S",32.48,37.5,12.7,0.35,0.1,0,0.95,1,1,1,1,"133832_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
186,1,1,"S","133832_L_G",32.48,37.5,12.7,0.35,0.1,0,1.45,1,1.25,1.35,1,"133832_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
187,1,1,"S","133832_L_S",32.48,37.5,12.7,0.35,0.1,0,1.45,1,1,1,1,"133832_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
189,1,1,"S","165043_S_D",43.3,50,15.88,0.35,0.1,0,1,1,1.45,1.55,1,"165043_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
191,1,1,"S","165043_C_G",43.3,50,15.88,0.35,0.1,0,1.15,1,1.25,1.35,1,"165043_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
192,1,1,"S","165043_C_S",43.3,50,15.88,0.35,0.1,0,1.15,1,1,1,1,"165043_C_S",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
195,1,1,"S","165043_P_S",43.3,50,15.88,0.35,0.1,0,0.95,1,1,1,1,"165043_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
197,1,1,"S","165043_L_G",43.3,50,15.88,0.35,0.1,0,1.45,1,1.25,1.35,1,"165043_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
198,1,1,"S","165043_L_S",43.3,50,15.88,0.35,0.1,0,1.45,1,1,1,1,"165043_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
201,1,1,"S","133026_C_D",25.98,30,12.6,0.35,0.1,0,1.15,1,1.45,1.55,1,"133026_C_D",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
203,1,1,"S","133026_S_G",25.98,30,12.6,0.35,0.1,0,1,1,1.25,1.35,1,"133026_S_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
204,1,1,"S","133026_S_D",25.98,30,12.6,0.35,0.1,0,1,1,1.45,1.55,1,"133026_S_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
207,1,1,"S","133026_P_D",25.98,30,12.6,0.35,0.1,0,0.95,1,1.45,1.55,1,"133026_P_D",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
209,1,1,"S","133026_L_G",25.98,30,12.6,0.35,0.1,0,1.45,1,1.25,1.35,1,"133026_L_G",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
210,1,1,"S","133026_L_D",25.98,30,12.6,0.35,0.1,0,1.45,1,1.45,1.55,1,"133026_L_D",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,4,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
218,1,1,"S","166030_x_S",30,60,15.88,0.35,0.1,0,1,1,1,1,1,"166030_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
220,1,1,"Q","165050_x_S",50,50,15.88,0.35,0.1,0,1,1,1,1,1,"165050_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
221,1,2,"S","162719_x_S",19,27,15.88,0.35,0.1,0,1,1,1,1,1,"162719_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
223,1,2,"Q","256060_x_S",60,60,25.4,0.35,0.1,0,1,1,1,1,1,"256060_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
228,1,1,"S","122525_x_S",25,25,12,0.3,0.1,0,1,1,1,1,1,"122525_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
229,1,1,"S","133228_C_S F Lantery EVP - CN COLD",27.5,31.75,13.3,0.35,0.13,0,1.15,1,1,1,1,"133228_C_S F Lantery EVP - CN COLD",1.25,1,1,1,1,1,0,0.600000023841858,0,0,0,0,,1,1,0,0,0,0,0,0,0.3,0,0.3,0,0.3,0,0.3,0,1,0,0,1,0,1,0,0,2,1,"                                                                                                                                                                                                                                                          ",0.2,0.2,-1,0,0.2,0.2,0.2,0.2
230,1,1,"S","166030_SW_S Lantery RESF - CN COLD",30,60,16.4,0.4,0.13,0,1.15,1,1,1,1,"166030_SW_S Lantery RESF - CN COLD",1.25,1,1,1,1,1,0,0.6,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6,1,"                                                                                                                                                                                                                                                          ",0.2,0.2,0,0,0.2,0.2,0.2,0.2
