CodiceBatteria,ItipoB,AlCS,Psq,Descrizione,PassoRanghi,PassoTubi,DiamEster,Spessoretubo,SpessoreAletta,AltezzaAletta,FatCorAl,FatRidAumSup,FatCoeflattub,FatCorrFatAttr,RidAreaPassTubo,Sigla,FattoreAttrAria,SlopeFatCorAl,SlopeFatCoeflattub,SlopeFatCorrFatAttr,SlopeFattoreAttrAria,FattoreAttrAriaLatente,RappSuperficiInterne,FattoreSensible,MetodoDiCalcolo,MetodoDiCalcoloPdC,PoliPdC_K0,PoliPdC_K1,ScriptPdCLungAdd,Fast,SecurityFactor,MultiFattori,TuboLiscio,Certificata,Parziale,UsaSistemaLE,Fat_PDC_LA_1,Fat_PDC_LC_1,Fat_PDC_LA_2,Fat_PDC_LC_2,Fat_PDC_LA_3,Fat_PDC_LC_3,Fat_PDC_LA_4,Fat_PDC_LC_4,AlterPumpMethod,Factor_A0,Factor_A1,Factor_A2,Factor_FATC,Fatt_PdC_Concentrate,FormaTubo,AltezzaTubo,LarghezzaTubo,TipoAletta,TipoTubo,ParametriSpeciali,Fatt_Exp1,Fatt_Exp2,AHRI_CERT,EUROVENT_CERT,Fatt_Exp3,Fatt_Exp4,Fatt_Exp5,Fatt_Exp6
200,1,1,"S","133026_C_G",25.98,30,12.6,0.35,0.1,0,1.15,1,1.25,1.35,1,"133026_C_G",1.25,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,2,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
202,1,1,"S","133026_S_S",25.98,30,12.6,0.35,0.1,0,1,1,1,1,1,"133026_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
205,1,1,"S","133026_P_S",25.98,30,12.6,0.35,0.1,0,0.95,1,1,1,1,"133026_P_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
208,1,1,"S","133026_L_S",25.98,30,12.6,0.35,0.1,0,1.45,1,1,1,1,"133026_L_S",1.55,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,5,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
215,1,1,"S","071912_S_S",12,19,7,0.28,0.12,1.26,1,1,1,1,1,"071912_S_S",1,1,1,1,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
219,1,1,"Q","166060_x_S",60,60,15.88,0.35,0.1,0,1,1,1,1,1,"166060_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
222,1,2,"Q","195050_x_S",50,50,19,0.35,0.1,0,1,1,1,1,1,"195050_x_S",1,1,1,1,1,1,1,0,0,0,0,0,,1,1,0,1,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
206,1,1,"S","133026_P_G",25.98,30,12.6,0.35,0.1,0,0.95,1,1.25,1.35,1,"133026_P_G",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,3,3,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
1,1,1,"S","082522_S_S",22,25,8.5,0.35,0.12,0,1,1,1,1,1,"082522_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
4,1,1,"Q","103232_S_S",32,32,10.3,0.35,0.12,0,1,1,1,1,1,"103232_S_S",1,1,1,1,1,1,1,0.6,0,0,0,0,,0,1,0,0,0,0,0,,,,,,,,,0,1,0,0,1,,1,,,1,1,,0.2,0.2,-1,0,0.2,0.2,0.2,0.2
